ids,catalog_number,cad
1240964,15/B104,15%2FB104.zip
1240965,15/B105,15%2FB105.zip
1240963,15/B103,15%2FB103.zip
1240962,15/B100,15%2FB100.zip
1240961,15/A96,15%2FA96.zip
1240960,15/A92,15%2FA92.zip
1240959,15/A90,15%2FA90.zip
1240958,15/A85,15%2FA85.zip
1240957,15/A83,15%2FA83.zip
1240956,15/A81,15%2FA81.zip
1240955,15/A80,15%2FA80.zip
1240954,15/A78,15%2FA78.zip
1240953,15/A77,15%2FA77.zip
1240952,15/A75,15%2FA75.zip
1240951,15/A74,15%2FA74.zip
1240949,15/A70,15%2FA70.zip
1240950,15/A71,15%2FA71.zip
1240948,15/A68,15%2FA68.zip
1240947,15/A66,15%2FA66.zip
1240946,15/A65,15%2FA65.zip
1240945,15/A64,15%2FA64.zip
1240944,15/A62,15%2FA62.zip
1240943,15/A60,15%2FA60.zip
1240942,15/A58,15%2FA58.zip
1240941,15/A57,15%2FA57.zip
1240940,15/A56,15%2FA56.zip
1240939,15/A55,15%2FA55.zip
1240938,15/A54,15%2FA54.zip
1240937,15/A53,15%2FA53.zip
1240936,15/A51,15%2FA51.zip
1240935,15/A49,15%2FA49.zip
1240934,15/A48,15%2FA48.zip
1240933,15/A47,15%2FA47.zip
1240932,15/A46,15%2FA46.zip
1240931,15/A44,15%2FA44.zip
1240930,15/A43,15%2FA43.zip
1240929,15/A42,15%2FA42.zip
1240928,15/A180,15%2FA180.zip
1240927,15/A173,15%2FA173.zip
1240926,15/A158,15%2FA158.zip
1240925,15/A144,15%2FA144.zip
1240924,15/A136,15%2FA136.zip
1240923,15/A128,15%2FA128.zip
1240922,15/A120,15%2FA120.zip
1240921,15/A112,15%2FA112.zip
1240920,15/A110,15%2FA110.zip
1240919,15/A105,15%2FA105.zip
1240918,15/A100,15%2FA100.zip
1240917,14/B99,14%2FB99.zip
1240916,14/B97,14%2FB97.zip
1240915,14/B96,14%2FB96.zip
1240914,14/B95,14%2FB95.zip
1240913,14/B93,14%2FB93.zip
1240912,14/B92,14%2FB92.zip
1240911,14/B90,14%2FB90.zip
1240910,14/B88,14%2FB88.zip
