ids,catalog_number,cad
2070536,NU 328 ECJ/C3,none
2070522,OSNW 36X6.7/16,none
2070520,OSNW 32X5.7/16,none
2070524,OSNW 44X7.15/16,none
2070521,OSNW 34X5.15/16,none
2070523,OSNW 38X6.15/16,none
2070539,NU 2209 ECJ,http://www.skf.com/cadDownload/02017062403311729508086192d056f/PARTserver02017062403311729508086192d056f.zip
2070538,NUTR 45100 X,http://www.skf.com/cadDownload/02017062403311746608087192d056f/PARTserver02017062403311746608087192d056f.zip
2070527,SYK 25 TR,http://www.skf.com/cadDownload/02017062403311763808088192d056f/PARTserver02017062403311763808088192d056f.zip
2070519,OSNW 28X4.15/16,none
2070518,OSNW 26X4.7/16,none
2070528,LM 300849/811/Q,http://www.skf.com/cadDownload/02017062403311951008090192d056f/PARTserver02017062403311951008090192d056f.zip
2070517,6318/C4S1,none
2070516,6218/C3S1,none
2070514,6006-2RS1/LHT23,none
2070515,16022/C3,none
2070509,239/850 CAK/C08W33,none
2070507,6317-2RS1/C3,none
2070511,3203 A-2RS1TN9,none
2070508,239/500 CAK/C08W507,none
2070510,24060 CACK30/C2W33,none
2070530,KMK 11,http://www.skf.com/cadDownload/02017062403312701308093192d056f/PARTserver02017062403312701308093192d056f.zip
2070542,NCF 2968 V,http://www.skf.com/cadDownload/02017062403312701308094192d056f/PARTserver02017062403312701308094192d056f.zip
2070506,23248 CAC/C2W33,none
2070505,7409 BM/DGB,none
2070504,SHR 48,none
2070512,RNU 2304 ECP,http://www.skf.com/cadDownload/02017062403314757408101192d056f/PARTserver02017062403314757408101192d056f.zip
2070513,312-2ZNR,http://www.skf.com/cadDownload/02017062403314815108102192d056f/PARTserver02017062403314815108102192d056f.zip
2070499,SHR 60,none
2070498,SHR 45,none
2070501,SHT 18,http://www.skf.com/cadDownload/02017062403315108408103192d056f/PARTserver02017062403315108408103192d056f.zip
2070492,SHR 19,none
2070491,SHR 18,none
2070489,SHR 16,none
2070503,SHT 100,http://www.skf.com/cadDownload/02017062403315275308104192d056f/PARTserver02017062403315275308104192d056f.zip
2070488,SHR 15,none
2070502,SHT 85,http://www.skf.com/cadDownload/02017062403315306508106192d056f/PARTserver02017062403315306508106192d056f.zip
2070490,SHR 17,none
2070495,SHR 28,none
2070487,SHR 15/16,none
2070485,SHR 1.5/16,none
2070500,SHT 17,http://www.skf.com/cadDownload/02017062403315426708107192d056f/PARTserver02017062403315426708107192d056f.zip
2070497,SHR 38,none
2070486,SHT 15/16,none
2070484,SHT 2.1/8,none
2070482,SHT 2.15/16,none
2070494,SHR 24,none
2070493,SHR 22,none
2070483,SHT 2.1/2,none
2070481,SHT 3.7/16,none
2070496,SHR 30,none
2070480,SHT 1.5/16,none
2070474,7407 BM/DGB,none
2070479,SHT 3.3/16,none
2070475,23952 CCK/C3W33,none
2070473,23122 CCK/C4W33,none
2070467,7207 BEY/DGG130,none
2070469,6007-2RS1/C3,none
2070478,SHT 38,http://www.skf.com/cadDownload/02017062403320367308108192d056f/PARTserver02017062403320367308108192d056f.zip
2070463,61813/C3,none
2070465,NJ 406 MA/C3P,none
2070468,23096 CAK/C3W33,none
2070466,NU 212 ECJ/C3,none
2070476,6311 NR,http://www.skf.com/cadDownload/02017062403320835308109192d056f/PARTserver02017062403320835308109192d056f.zip
2070477,6212-ZNR,http://www.skf.com/cadDownload/02017062403320847808110192d056f/PARTserver02017062403320847808110192d056f.zip
2070472,23040 CCK/HA3C4W33,none
2070464,230/560 CAK/C3W33,none
2070470,GEZH 204 ES-2RS,http://www.skf.com/cadDownload/02017062403320914908111192d056f/PARTserver02017062403320914908111192d056f.zip
2070461,23236 CC/C2W33,none
2070462,RNA 49/22,http://www.skf.com/cadDownload/02017062403321158308112192d056f/PARTserver02017062403321158308112192d056f.zip
2070471,7319 BEGAP,http://www.skf.com/cadDownload/02017062403321172308113192d056f/PARTserver02017062403321172308113192d056f.zip
2070458,6312/C3S0,none
2070452,NNU 4940 B/SPC3W33,none
2070450,Z 210,none
2070456,6309-ZNR,http://www.skf.com/cadDownload/02017062403321975708114192d056f/PARTserver02017062403321975708114192d056f.zip
2070454,6017 NR,http://www.skf.com/cadDownload/02017062403322000708115192d056f/PARTserver02017062403322000708115192d056f.zip
2070445,22312 EK/VA759,none
2070460,23180 CAK/W33,http://www.skf.com/cadDownload/02017062403322014708116192d056f/PARTserver02017062403322014708116192d056f.zip
2070457,6310 NR,http://www.skf.com/cadDownload/02017062403322036508117192d056f/PARTserver02017062403322036508117192d056f.zip
2070453,6011 NR,http://www.skf.com/cadDownload/02017062403322113008120192d056f/PARTserver02017062403322113008120192d056f.zip
2070459,23056 CCK/W33,http://www.skf.com/cadDownload/02017062403322103608119192d056f/PARTserver02017062403322103608119192d056f.zip
2070451,HK 1214 RS,http://www.skf.com/cadDownload/02017062403322223708121192d056f/PARTserver02017062403322223708121192d056f.zip
2070455,6216 NR,http://www.skf.com/cadDownload/02017062403322292408123192d056f/PARTserver02017062403322292408123192d056f.zip
2070449,6304 NR,http://www.skf.com/cadDownload/02017062403322287708122192d056f/PARTserver02017062403322287708122192d056f.zip
2070448,NNF 5048 ADA-2LSV,http://www.skf.com/cadDownload/02017062403322378208124192d056f/PARTserver02017062403322378208124192d056f.zip
2070439,IR 80X90X54,none
2070443,7220 BEGAY,http://www.skf.com/cadDownload/02017062403322573208125192d056f/PARTserver02017062403322573208125192d056f.zip
2070440,IR 85X95X26,none
2070447,4217 ATN9,http://www.skf.com/cadDownload/02017062403322588808126192d056f/PARTserver02017062403322588808126192d056f.zip
2070435,K 28X33X13,none
2070437,IR 55X60X35,none
