ids,catalog_number,cad
2070492,SHR 19,none
2070491,SHR 18,none
2070490,SHR 17,none
2070595,239/630 CAK/W33,http://www.skf.com/cadDownload/02017062214580064264229192d056f/PARTserver02017062214580064264229192d056f.zip
2070489,SHR 16,none
2070488,SHR 15,none
2070487,SHR 15/16,none
2070486,SHT 15/16,none
2070485,SHR 1.5/16,none
2070484,SHT 2.1/8,none
2070483,SHT 2.1/2,none
2070482,SHT 2.15/16,none
2070481,SHT 3.7/16,none
2070480,SHT 1.5/16,none
2070479,SHT 3.3/16,none
2544976,FYT 1.1/2 TF/VA228,http://www.skf.com/cadDownload/02017062214580894164243192d056f/PARTserver02017062214580894164243192d056f.zip
2070475,23952 CCK/C3W33,none
2070512,RNU 2304 ECP,http://www.skf.com/cadDownload/02017062214582093864266192d056f/PARTserver02017062214582093864266192d056f.zip
2070474,7407 BM/DGB,none
2070473,23122 CCK/C4W33,none
2070472,23040 CCK/HA3C4W33,none
2070469,6007-2RS1/C3,none
2070468,23096 CAK/C3W33,none
2070467,7207 BEY/DGG130,none
2070466,NU 212 ECJ/C3,none
2070465,NJ 406 MA/C3P,none
2070464,230/560 CAK/C3W33,none
2070463,61813/C3,none
2070530,KMK 11,http://www.skf.com/cadDownload/02017062214582270064272192d056f/PARTserver02017062214582270064272192d056f.zip
2070528,LM 300849/811/Q,http://www.skf.com/cadDownload/02017062214582268564270192d056f/PARTserver02017062214582268564270192d056f.zip
2070461,23236 CC/C2W33,none
2070532,K 25X35X30,http://www.skf.com/cadDownload/02017062214582271664273192d056f/PARTserver02017062214582271664273192d056f.zip
2070458,6312/C3S0,none
2070452,NNU 4940 B/SPC3W33,none
2070502,SHT 85,http://www.skf.com/cadDownload/02017062214582291964279192d056f/PARTserver02017062214582291964279192d056f.zip
2070500,SHT 17,http://www.skf.com/cadDownload/02017062214582290364276192d056f/PARTserver02017062214582290364276192d056f.zip
2070503,SHT 100,http://www.skf.com/cadDownload/02017062214582291964277192d056f/PARTserver02017062214582291964277192d056f.zip
2070501,SHT 18,http://www.skf.com/cadDownload/02017062214582291964278192d056f/PARTserver02017062214582291964278192d056f.zip
2070549,NA 4856,http://www.skf.com/cadDownload/02017062214582281064275192d056f/PARTserver02017062214582281064275192d056f.zip
2070450,Z 210,none
2070583,FYT 7/8 TF,http://www.skf.com/cadDownload/02017062214582313764282192d056f/PARTserver02017062214582313764282192d056f.zip
2070445,22312 EK/VA759,none
2070477,6212-ZNR,http://www.skf.com/cadDownload/02017062214582326264285192d056f/PARTserver02017062214582326264285192d056f.zip
2070476,6311 NR,http://www.skf.com/cadDownload/02017062214582329364286192d056f/PARTserver02017062214582329364286192d056f.zip
2070462,RNA 49/22,http://www.skf.com/cadDownload/02017062214582337164288192d056f/PARTserver02017062214582337164288192d056f.zip
2070478,SHT 38,http://www.skf.com/cadDownload/02017062214582338764290192d056f/PARTserver02017062214582338764290192d056f.zip
2070459,23056 CCK/W33,http://www.skf.com/cadDownload/02017062214582349664291192d056f/PARTserver02017062214582349664291192d056f.zip
2070460,23180 CAK/W33,http://www.skf.com/cadDownload/02017062214582357464293192d056f/PARTserver02017062214582357464293192d056f.zip
2070455,6216 NR,http://www.skf.com/cadDownload/02017062214582368364296192d056f/PARTserver02017062214582368364296192d056f.zip
2070454,6017 NR,http://www.skf.com/cadDownload/02017062214582365264294192d056f/PARTserver02017062214582365264294192d056f.zip
2070457,6310 NR,http://www.skf.com/cadDownload/02017062214582357464292192d056f/PARTserver02017062214582357464292192d056f.zip
2070453,6011 NR,http://www.skf.com/cadDownload/02017062214582376164298192d056f/PARTserver02017062214582376164298192d056f.zip
2070449,6304 NR,http://www.skf.com/cadDownload/02017062214582394864302192d056f/PARTserver02017062214582394864302192d056f.zip
2070448,NNF 5048 ADA-2LSV,http://www.skf.com/cadDownload/02017062214582394864301192d056f/PARTserver02017062214582394864301192d056f.zip
2070451,HK 1214 RS,http://www.skf.com/cadDownload/02017062214582393364300192d056f/PARTserver02017062214582393364300192d056f.zip
2070431,231/500 CA/C3W33,none
2070447,4217 ATN9,http://www.skf.com/cadDownload/02017062214582416764305192d056f/PARTserver02017062214582416764305192d056f.zip
2070424,71904 ACD/P4ADGA,none
2070444,6010 NR,http://www.skf.com/cadDownload/02017062214582455764307192d056f/PARTserver02017062214582455764307192d056f.zip
2070446,QJ 1248 MA/344524,http://www.skf.com/cadDownload/02017062214582461964308192d056f/PARTserver02017062214582461964308192d056f.zip
2070438,IR 70X80X25,http://www.skf.com/cadDownload/02017062214582479164312192d056f/PARTserver02017062214582479164312192d056f.zip
2070439,IR 80X90X54,http://www.skf.com/cadDownload/02017062214582482264314192d056f/PARTserver02017062214582482264314192d056f.zip
2070440,IR 85X95X26,http://www.skf.com/cadDownload/02017062214582497864316192d056f/PARTserver02017062214582497864316192d056f.zip
2070436,IR 40X48X22,http://www.skf.com/cadDownload/02017062214582502564318192d056f/PARTserver02017062214582502564318192d056f.zip
2070433,239/530 CA/W33,http://www.skf.com/cadDownload/02017062214582510364320192d056f/PARTserver02017062214582510364320192d056f.zip
2070434,IR 28X32X20,http://www.skf.com/cadDownload/02017062214582511864321192d056f/PARTserver02017062214582511864321192d056f.zip
2070435,K 28X33X13,http://www.skf.com/cadDownload/02017062214582505664319192d056f/PARTserver02017062214582505664319192d056f.zip
2070430,IR 20X24X20,http://www.skf.com/cadDownload/02017062214582527464323192d056f/PARTserver02017062214582527464323192d056f.zip
2070427,IR 15X20X13,http://www.skf.com/cadDownload/02017062214582529064324192d056f/PARTserver02017062214582529064324192d056f.zip
2070432,231/600 CAK/W33,http://www.skf.com/cadDownload/02017062214582529064325192d056f/PARTserver02017062214582529064325192d056f.zip
2070426,IR 15X19X16,http://www.skf.com/cadDownload/02017062214582535264326192d056f/PARTserver02017062214582535264326192d056f.zip
2070428,K 16X20X17,http://www.skf.com/cadDownload/02017062214582536864327192d056f/PARTserver02017062214582536864327192d056f.zip
2070425,GS 81112,http://www.skf.com/cadDownload/02017062214582538464328192d056f/PARTserver02017062214582538464328192d056f.zip
2070423,NK 65/35,http://www.skf.com/cadDownload/02017062214582552464329192d056f/PARTserver02017062214582552464329192d056f.zip
2070429,IR 17X22X13,http://www.skf.com/cadDownload/02017062214582563364331192d056f/PARTserver02017062214582563364331192d056f.zip
2070421,61892 MA,http://www.skf.com/cadDownload/02017062214582574264333192d056f/PARTserver02017062214582574264333192d056f.zip
2070420,NK 42/20,http://www.skf.com/cadDownload/02017062214582577464334192d056f/PARTserver02017062214582577464334192d056f.zip
2070414,RNA 6916,http://www.skf.com/cadDownload/02017062214582897264341192d056f/PARTserver02017062214582897264341192d056f.zip
2070415,23188 CAK/W33,http://www.skf.com/cadDownload/02017062214582919064344192d056f/PARTserver02017062214582919064344192d056f.zip
2070417,23284 CA/W33,http://www.skf.com/cadDownload/02017062214583958064370192d056f/PARTserver02017062214583958064370192d056f.zip
2070419,AH 24128,http://www.skf.com/cadDownload/02017062214584017264372192d056f/PARTserver02017062214584017264372192d056f.zip
2070401,TS 60,none
2070413,NK 6/12 TN,http://www.skf.com/cadDownload/02017062214584059464374192d056f/PARTserver02017062214584059464374192d056f.zip
2070408,AOH 2244,http://www.skf.com/cadDownload/02017062214584060964375192d056f/PARTserver02017062214584060964375192d056f.zip
2070395,7318 BEGBY,none
2070394,6076 M/C3,none
2070407,HK 1812,http://www.skf.com/cadDownload/02017062214584131164377192d056f/PARTserver02017062214584131164377192d056f.zip
2070409,HM 3188,http://www.skf.com/cadDownload/02017062214584142064378192d056f/PARTserver02017062214584142064378192d056f.zip
2070437,IR 55X60X35,http://www.skf.com/cadDownload/02017062214584151464380192d056f/PARTserver02017062214584151464380192d056f.zip
2070392,6216/C4,none
2070391,6307/C4,none
2070456,6309-ZNR,http://www.skf.com/cadDownload/02017062214584159264381192d056f/PARTserver02017062214584159264381192d056f.zip
2070388,6002-Z/C4,none
2070411,NA 4913,http://www.skf.com/cadDownload/02017062214584188864382192d056f/PARTserver02017062214584188864382192d056f.zip
2070404,GE 300 ES-2RS,http://www.skf.com/cadDownload/02017062214584210764385192d056f/PARTserver02017062214584210764385192d056f.zip
2070406,HE 310,http://www.skf.com/cadDownload/02017062214584209164384192d056f/PARTserver02017062214584209164384192d056f.zip
2070402,NKX 70,http://www.skf.com/cadDownload/02017062214584234164387192d056f/PARTserver02017062214584234164387192d056f.zip
2070385,6320-2Z/C3,none
2070403,YAR 214-208-2F,http://www.skf.com/cadDownload/02017062214584259064388192d056f/PARTserver02017062214584259064388192d056f.zip
2070405,AH 309,http://www.skf.com/cadDownload/02017062214584270064389192d056f/PARTserver02017062214584270064389192d056f.zip
2070400,NKX 40 Z,http://www.skf.com/cadDownload/02017062214584299664390192d056f/PARTserver02017062214584299664390192d056f.zip
2070380,71913 CDGA/P4A,none
2070379,7217 BEGAY,none
2070378,23168 CACK/HA3C4W33,none
2070393,635-2Z,http://www.skf.com/cadDownload/02017062214584326164392192d056f/PARTserver02017062214584326164392192d056f.zip
2070376,308 N,none
2070374,61818/C3,none
2070371,6315-2RS1/C3,none
2070390,6218-Z,http://www.skf.com/cadDownload/02017062214584358964393192d056f/PARTserver02017062214584358964393192d056f.zip
2070398,NKX 10 TN,http://www.skf.com/cadDownload/02017062214584363664394192d056f/PARTserver02017062214584363664394192d056f.zip
2070370,6320/C4,none
2070386,6205 NR,http://www.skf.com/cadDownload/02017062214584402664396192d056f/PARTserver02017062214584402664396192d056f.zip
2070387,6007-2Z,http://www.skf.com/cadDownload/02017062214584402664395192d056f/PARTserver02017062214584402664395192d056f.zip
2070368,6000-ZTN9,none
2070367,6310/C4,none
2070389,6313 NR,http://www.skf.com/cadDownload/02017062214584421364397192d056f/PARTserver02017062214584421364397192d056f.zip
2070384,6209 NR,http://www.skf.com/cadDownload/02017062214584436964399192d056f/PARTserver02017062214584436964399192d056f.zip
2070362,PDN 308,none
2070361,23160 CCK/C4W33,none
2070364,476218-303 B,none
2070383,62302-2RS1,http://www.skf.com/cadDownload/02017062214584443164400192d056f/PARTserver02017062214584443164400192d056f.zip
2070381,625-2Z,http://www.skf.com/cadDownload/02017062214584461864402192d056f/PARTserver02017062214584461864402192d056f.zip
2070357,RBC4B 457969,none
2070356,1306 EKTN9/C3,none
2070355,NJ 2220 ECP/C3,none
2070354,GAZ 500 SA,none
2070377,62304-2RS1,http://www.skf.com/cadDownload/02017062214584485264403192d056f/PARTserver02017062214584485264403192d056f.zip
2070382,635,http://www.skf.com/cadDownload/02017062214584485264404192d056f/PARTserver02017062214584485264404192d056f.zip
325932,632,none
2070375,624-2Z,http://www.skf.com/cadDownload/02017062214584504064406192d056f/PARTserver02017062214584504064406192d056f.zip
2070372,6316-2Z,http://www.skf.com/cadDownload/02017062214584504064405192d056f/PARTserver02017062214584504064405192d056f.zip
2070350,NU 1036 M/C4VA301,none
2070349,2208 E-2RS1KTN9/C3,none
2070346,3304 ATN9/C3,none
2070369,6217 NR,http://www.skf.com/cadDownload/02017062214584544564408192d056f/PARTserver02017062214584544564408192d056f.zip
2070373,6306 NR,http://www.skf.com/cadDownload/02017062214584544564409192d056f/PARTserver02017062214584544564409192d056f.zip
2070365,6305 NR,http://www.skf.com/cadDownload/02017062214584564864411192d056f/PARTserver02017062214584564864411192d056f.zip
2070366,PDNB 316,http://www.skf.com/cadDownload/02017062214584564864412192d056f/PARTserver02017062214584564864412192d056f.zip
2070342,NU 312 ECM/C5,none
2070340,24152 CC/C5W33,none
2070359,SALA 45 ES-2RS,http://www.skf.com/cadDownload/02017062214584588264416192d056f/PARTserver02017062214584588264416192d056f.zip
2070363,6309 NR,http://www.skf.com/cadDownload/02017062214584588264415192d056f/PARTserver02017062214584588264415192d056f.zip
2070358,SAA 45 ES-2RS,http://www.skf.com/cadDownload/02017062214584619464418192d056f/PARTserver02017062214584619464418192d056f.zip
2070513,312-2ZNR,http://www.skf.com/cadDownload/02017062214582564964332192d056f/PARTserver02017062214582564964332192d056f.zip
2070338,2205 E-2RS1KTN9/C3,none
2070336,R 313891 A,none
2070335,R 313583,none
2070422,628/5-2Z,http://www.skf.com/cadDownload/02017062214585163864429192d056f/PARTserver02017062214585163864429192d056f.zip
2070334,24036 CCK30/C3W33,none
2070333,NUP 207 ECP/C3,none
2070332,23218 CC/C3,none
2070330,N 60,none
2070416,23280 CA/W33,http://www.skf.com/cadDownload/02017062214585181064431192d056f/PARTserver02017062214585181064431192d056f.zip
2070418,23996 CAK/W33,http://www.skf.com/cadDownload/02017062214585191964432192d056f/PARTserver02017062214585191964432192d056f.zip
2070412,NNU 4938 B/SPW33,http://www.skf.com/cadDownload/02017062214585202864434192d056f/PARTserver02017062214585202864434192d056f.zip
2070410,RNA 4908.2RS,http://www.skf.com/cadDownload/02017062214585196664433192d056f/PARTserver02017062214585196664433192d056f.zip
2070326,FRB 6.5/90,none
2070325,TS 80,none
2070324,TS 68,none
2070345,16060 MA,http://www.skf.com/cadDownload/02017062214585425964438192d056f/PARTserver02017062214585425964438192d056f.zip
2070347,3304 ATN9,http://www.skf.com/cadDownload/02017062214585469664440192d056f/PARTserver02017062214585469664440192d056f.zip
2070339,23280 CAK/W33,http://www.skf.com/cadDownload/02017062214585507064442192d056f/PARTserver02017062214585507064442192d056f.zip
2070341,HJ 236 EC,http://www.skf.com/cadDownload/02017062214585538264444192d056f/PARTserver02017062214585538264444192d056f.zip
2070327,RLS 6-2RS1,http://www.skf.com/cadDownload/02017062214585606964449192d056f/PARTserver02017062214585606964449192d056f.zip
2070328,RLS 6-2Z,http://www.skf.com/cadDownload/02017062214585606964448192d056f/PARTserver02017062214585606964448192d056f.zip
2070331,HA 2332,http://www.skf.com/cadDownload/02017062214585641264452192d056f/PARTserver02017062214585641264452192d056f.zip
2070320,IR 42X47X20,http://www.skf.com/cadDownload/02017062214585658464453192d056f/PARTserver02017062214585658464453192d056f.zip
2070321,IR 70X80X30,http://www.skf.com/cadDownload/02017062214585661564454192d056f/PARTserver02017062214585661564454192d056f.zip
2070322,NA 2208.2RS,http://www.skf.com/cadDownload/02017062214585694264458192d056f/PARTserver02017062214585694264458192d056f.zip
2070304,6214-2Z/C3,none
2070305,23226 CCK/C2W33,none
2070303,6214-2RS1/C3,none
2070302,6017-2Z/C3,none
2070316,AH 2309,http://www.skf.com/cadDownload/02017062214585713064460192d056f/PARTserver02017062214585713064460192d056f.zip
2070319,IR 35X40X30,http://www.skf.com/cadDownload/02017062214585711464459192d056f/PARTserver02017062214585711464459192d056f.zip
2070301,6014-2Z/C3,none
2070314,3311 DMA,http://www.skf.com/cadDownload/02017062214585717664461192d056f/PARTserver02017062214585717664461192d056f.zip
2070298,15245,none
2070293,LER 53,none
2070292,LER 44,none
