id,catalog_number,cad
2272649,JA 1 1/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-QD-JA_Bushing_Master-JA_1_1-4.IGS
2284767,2TB34,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-2TB-S_Sheave_Master-2TB34.IGS
2292221,6H EB FR FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-H_1-7_FR_Master-6H_EB_FR.IGS
2891259,215HMTP25 6B SAE-A 2,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-215HMTP-6B-DEFAULT.IGS
2285317,5B5V80,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-5B5V-SheaveMaster-5B5V80.IGS
2272405,VS-216,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VS-216-DEFAULT.IGS
2271719,VF2E-108,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VF2E-108-DEFAULT.IGS
2287901,P 3 3/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-P_Bushing_Master-P_3_3-16.IGS
2288014,SDS 15/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-QD-SDS_Bushing_Master-SDS_15-16.IGS
2275821,VPLB-232,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPLB-232-DEFAULT.IGS
2278435,BK36H,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-BKH_Sheave_Master-BK36H.IGS
2285298,5B5V184,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-5B5V-SheaveMaster-5B5V184.IGS
2290060,215DSP300-3,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-215DSP300-3-DEFAULT.IGS
2286983,3B44SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-3AB_LG_Sheavemaster-3B44SH.IGS
2281755,44H300SK,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-GBPulley_Master6-44H300SK.IGS
2284263,T55LX 1 1/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-T55LX_1_1-4-DEFAULT.IGS
2293887,204 KD 20 JJ1400,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_JUMBO_MASTER-204_KD20_JJ1400.IGS
2287126,5C300F,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-5C_LG_Sheavemaster-5C300F.IGS
2287409,48V1500F,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-48V_LG_Sheavemaster-48V1500F.IGS
2287286,25V440SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-25V_LG_Sheavemaster-25V440SH.IGS
2292696,1 1/2F EB FR,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-1-5-7_FR-1_5F_EB_FR.IGS
2285285,4B5V66,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-4B5V-SheaveMaster-4B5V66.IGS
2275707,VF4B-212,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VF4B-212-DEFAULT.IGS
2287312,33V365SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-33V_LG_Sheavemaster-33V365SH.IGS
2276015,4TC160,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-4TC-L_Sheave_Master-4TC160.IGS
2293701,103 KD 21 LS500,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD21_MASTER-103_KD21_LS500.IGS
2276302,AK61X 1 3/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master2-AK61X_1_3-16.IGS
2285305,5B5V50,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-5B5V-SheaveMaster-5B5V50.IGS
2276808,2BK36X 1 3/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-2BK_Sheave_Master2-2BK36X_1_3-8.IGS
2287240,13V412SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-13V_LG_Sheavemaster-13V412SH.IGS
2293999,204 KD 4 LL FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-KD4_Master-204_KD4_LL.IGS
2287011,3C270F,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-3C_LG_Sheavemaster-3C270F.IGS
2276358,AK94X1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master2-AK94X1-2.IGS
2298828,237Q56L40W,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-237Q56L-DEFAULT.IGS
2287618,E 2,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-QD-E_Bushing_Master-E_2.IGS
2283172,U1  3 1/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-U1_Type1_BushingMaster-U1_3_1-8.IGS
2272572,VF2E-114M,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF2E-114M-DEFAULT.IGS
2284730,1TB200,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-1TB-L_Sheave_Master-1TB200.IGS
2272140,VPLE-219,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VPLE-219-DEFAULT.IGS
2276322,AK69X 1 1/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-AK_Sheave_Master3-AK69X_1_1-8.IGS
2287983,SD 3/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-SD_Bushing_Master-SD_3-4.IGS
2272463,VTWE-223,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VTWE-223-DEFAULT.IGS
2288129,SK 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-QD-SK_Bushing_Master-SK_1-2.IGS
2287816,M 4 1/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-M_Bushing_Master-M_4_1-8.IGS
2288101,SH 24 MM,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-QD-SH_Bushing_Master-SH_24_MM.IGS
2271720,VF2E-110,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-VF2E-110-DEFAULT.IGS
2272209,VPS-218 AH,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPS-218_AH-DEFAULT.IGS
2287937,P 5 5/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-P_Bushing_Master-P_5_5-8.IGS
2289678,107CMTP09 Q140,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-107CMTP-140-DEFAULT.IGS
2271974,VF2E-222,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VF2E-222-DEFAULT.IGS
2272431,VS-328,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VS-328-DEFAULT.IGS
2287264,23V450SH,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-23V_LG_Sheavemaster-23V450SH.IGS
2287939,P 5 7/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-P_Bushing_Master-P_5_7-8.IGS
2272320,LS-120,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-LS-120-DEFAULT.IGS
2287864,N 4 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-N_Bushing_Master-N_4_1-2.IGS
2283118,S2  4 1/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-S1-S2_Type2_BushingMaster-S2_4_1-8.IGS
2284805,3TB40,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-3TB-S_Sheave_Master-3TB40.IGS
2284199,W2  3 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-W2-T1_BushingMaster-W2_3_1-2.IGS
2293975,204 KD 21 LS500,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD21_MASTER-204_KD21_LS500.IGS
2272124,VPE-227,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VPE-227-DEFAULT.IGS
2285228,2B5V74,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-2B5V-SheaveMaster-2B5V74.IGS
2288097,SH 1/2,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-QD-SH_Bushing_Master-SH_1-2.IGS
2293822,203 KD 1 LL FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD1_MASTER-203_KD1_LL.IGS
2281350,24LH050,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-GBPulley_Master6-24LH050.IGS
2271767,VF4E-114,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-VF4E-114-DEFAULT.IGS
2275709,VF4B-215,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-VF4B-215-DEFAULT.IGS
2289690,107SMTP15,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-SMTP_107_TP-DEFAULT.IGS
2285348,6B5V94,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-6B5V-SheaveMaster-6B5V94.IGS
2278443,BK52H,https://mro-host.herokuapp.com/file_download/?name=regalpts_EMERSON-BKH_Sheave_Master-BK52H.IGS
2281371,26LB050,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-GBPulley_Master2-26LB050.IGS
2288066,SF 2 7/8,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-QD-SF_Bushing_Master-SF_2_7-8.IGS
2291780,2 1/2H EB FF,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-H1-7FF_Master-2_1-2H_EB_FF_NR.IGS
2293892,204 KD 20 JJ800 FB,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-KD20_JUMBO_MASTER-204_KD20_JJ800.IGS
2281251,18HH100,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-GBPulley_Master6-18HH100.IGS
2282824,P2  1 9/16,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-P2-P3_Type2_BushingMaster-P2_1_9-16.IGS
2289710,115SMTP25,https://mro-host.herokuapp.com/file_download/?name=regalpts_EPTCAD-SMTP_115_TP-DEFAULT.IGS
2284774,2TB46,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-2TB-M_Sheave_Master-2TB46.IGS
2276396,BK130X3/4,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-BK_Sheave_Master2-BK130X3-4.IGS
2281221,16HB300,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-GBPulley_Master2-16HB300.IGS
2282792,P1  22 MM,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-P1_Bushing-Type1_Master-P1__22_MM.IGS
2299144,100Q40L40,https://mro-host.herokuapp.com/file_download/?name=regalpts_PTS-100Q40L40-DEFAULT.IGS
