url,catalog_number,name,ids
https://www.baldorvip.com/Drawing/Index/MT-4545-CTYCN-CD0194.pdf?partNo=MT-4545-CTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4545-CTYCN,Drawing #: CD0194,22543
https://www.baldorvip.com/Drawing/Index/MT-4535-CTYCN-55LYP537.pdf?partNo=MT-4535-CTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4535-CTYCN,Drawing #: 55LYP537,22552
https://www.baldorvip.com/Drawing/Index/MT-4535-CTYCN-CD0961.pdf?partNo=MT-4535-CTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4535-CTYCN,Drawing #: CD0961,22552
https://www.baldorvip.com/Drawing/Index/MT-4535-CTYCN-CD0194.pdf?partNo=MT-4535-CTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4535-CTYCN,Drawing #: CD0194,22552
https://www.baldorvip.com/Drawing/Index/MT-4535-BTYCN-55LYP537.pdf?partNo=MT-4535-BTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4535-BTYCN,Drawing #: 55LYP537,22551
https://www.baldorvip.com/Drawing/Index/MT-4535-BTYCN-CD0961.pdf?partNo=MT-4535-BTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4535-BTYCN,Drawing #: CD0961,22551
https://www.baldorvip.com/Drawing/Index/MT-4535-BTYCN-CD0194.pdf?partNo=MT-4535-BTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4535-BTYCN,Drawing #: CD0194,22551
https://www.baldorvip.com/Drawing/Index/MT-4090-BLYCE-54LYP050.pdf?partNo=MT-4090-BLYCE&dokar=DRW&doknr=54LYP050&dokvr=01&document=54LYP050_Layout1.PLT,MT-4090-BLYCE,Drawing #: 54LYP050,22555
https://www.baldorvip.com/Drawing/Index/MT-4090-BLYCE-CD1114.pdf?partNo=MT-4090-BLYCE&dokar=DRW&doknr=CD1114&dokvr=03&document=CD1114_Layout1.PLT,MT-4090-BLYCE,Drawing #: CD1114,22555
https://www.baldorvip.com/Drawing/Index/MT-4090-BLYCE-CD0194.pdf?partNo=MT-4090-BLYCE&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4090-BLYCE,Drawing #: CD0194,22555
https://www.baldorvip.com/Drawing/Index/BSM90C-3250AA-S3LYP155.pdf?partNo=BSM90C-3250AA&dokar=DRW&doknr=S3LYP155&dokvr=04&document=S3LYP155_Layout1.plt,BSM90C-3250AA,Drawing #: S3LYP155,22557
https://www.baldorvip.com/Drawing/Index/BSM90C-3250AA-CD1404.pdf?partNo=BSM90C-3250AA&dokar=DRW&doknr=CD1404&dokvr=00&document=150A.PLT,BSM90C-3250AA,Drawing #: CD1404,22557
https://www.baldorvip.com/Drawing/Index/BSM90C-3250AA-CD0006A02.pdf?partNo=BSM90C-3250AA&dokar=DRW&doknr=CD0006A02&dokvr=03&document=CD0006A02_Layout1.PLT,BSM90C-3250AA,Drawing #: CD0006A02,22557
https://www.baldorvip.com/Drawing/Index/BSM90C-3150AA-S3LYP155.pdf?partNo=BSM90C-3150AA&dokar=DRW&doknr=S3LYP155&dokvr=04&document=S3LYP155_Layout1.plt,BSM90C-3150AA,Drawing #: S3LYP155,22556
https://www.baldorvip.com/Drawing/Index/BSM90C-3150AA-CD1404.pdf?partNo=BSM90C-3150AA&dokar=DRW&doknr=CD1404&dokvr=00&document=150A.PLT,BSM90C-3150AA,Drawing #: CD1404,22556
https://www.baldorvip.com/Drawing/Index/BSM90C-3150AA-CD0006A02.pdf?partNo=BSM90C-3150AA&dokar=DRW&doknr=CD0006A02&dokvr=03&document=CD0006A02_Layout1.PLT,BSM90C-3150AA,Drawing #: CD0006A02,22556
https://www.baldorvip.com/Drawing/Index/MT-4525-BTYCN-55LYP537.pdf?partNo=MT-4525-BTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4525-BTYCN,Drawing #: 55LYP537,22558
https://www.baldorvip.com/Drawing/Index/MT-4525-BTYCN-CD0961.pdf?partNo=MT-4525-BTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4525-BTYCN,Drawing #: CD0961,22558
https://www.baldorvip.com/Drawing/Index/MT-4525-BTYCN-CD0194.pdf?partNo=MT-4525-BTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4525-BTYCN,Drawing #: CD0194,22558
https://www.baldorvip.com/Drawing/Index/MT-4070-BLYCE-54LYP050.pdf?partNo=MT-4070-BLYCE&dokar=DRW&doknr=54LYP050&dokvr=01&document=54LYP050_Layout1.PLT,MT-4070-BLYCE,Drawing #: 54LYP050,22563
https://www.baldorvip.com/Drawing/Index/MT-4070-BLYCE-CD1114.pdf?partNo=MT-4070-BLYCE&dokar=DRW&doknr=CD1114&dokvr=03&document=CD1114_Layout1.PLT,MT-4070-BLYCE,Drawing #: CD1114,22563
https://www.baldorvip.com/Drawing/Index/MT-4070-BLYCE-CD0194.pdf?partNo=MT-4070-BLYCE&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4070-BLYCE,Drawing #: CD0194,22563
https://www.baldorvip.com/Drawing/Index/MT-4525-DTYCN-55LYP537.pdf?partNo=MT-4525-DTYCN&dokar=DRW&doknr=55LYP537&dokvr=02&document=55LYP537_Layout1.plt,MT-4525-DTYCN,Drawing #: 55LYP537,22559
https://www.baldorvip.com/Drawing/Index/MT-4525-DTYCN-CD0961.pdf?partNo=MT-4525-DTYCN&dokar=DRW&doknr=CD0961&dokvr=01&document=CD0961J.PLT,MT-4525-DTYCN,Drawing #: CD0961,22559
https://www.baldorvip.com/Drawing/Index/MT-4525-DTYCN-CD0194.pdf?partNo=MT-4525-DTYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-4525-DTYCN,Drawing #: CD0194,22559
https://www.baldorvip.com/Drawing/Index/MT-3363-BLYCN-53LYP306.pdf?partNo=MT-3363-BLYCN&dokar=DRW&doknr=53LYP306&dokvr=01&document=53LYP306_Layout1.PLT,MT-3363-BLYCN,Drawing #: 53LYP306,22581
https://www.baldorvip.com/Drawing/Index/MT-3363-BLYCN-CD0956.pdf?partNo=MT-3363-BLYCN&dokar=DRW&doknr=CD0956&dokvr=01&document=CD0956H.PLT,MT-3363-BLYCN,Drawing #: CD0956,22581
https://www.baldorvip.com/Drawing/Index/MT-3363-BLYCN-CD0194.pdf?partNo=MT-3363-BLYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-3363-BLYCN,Drawing #: CD0194,22581
https://www.baldorvip.com/Drawing/Index/MT-3363-BLYAN-53LYP304.pdf?partNo=MT-3363-BLYAN&dokar=DRW&doknr=53LYP304&dokvr=01&document=53LYP304_Layout1.plt,MT-3363-BLYAN,Drawing #: 53LYP304,22582
https://www.baldorvip.com/Drawing/Index/MT-3363-BLYAN-CD1097.pdf?partNo=MT-3363-BLYAN&dokar=DRW&doknr=CD1097&dokvr=00&document=364D.PLT,MT-3363-BLYAN,Drawing #: CD1097,22582
https://www.baldorvip.com/Drawing/Index/MT-3363-BLYAN-CD0194.pdf?partNo=MT-3363-BLYAN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-3363-BLYAN,Drawing #: CD0194,22582
https://www.baldorvip.com/Drawing/Index/MT-2250-BCYCN-52LYP071.pdf?partNo=MT-2250-BCYCN&dokar=DRW&doknr=52LYP071&dokvr=01&document=52LYP071_Layout1.PLT,MT-2250-BCYCN,Drawing #: 52LYP071,22583
https://www.baldorvip.com/Drawing/Index/MT-2250-BCYCN-CD0956.pdf?partNo=MT-2250-BCYCN&dokar=DRW&doknr=CD0956&dokvr=01&document=CD0956H.PLT,MT-2250-BCYCN,Drawing #: CD0956,22583
https://www.baldorvip.com/Drawing/Index/MT-2250-BCYCN-CD0194.pdf?partNo=MT-2250-BCYCN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-2250-BCYCN,Drawing #: CD0194,22583
https://www.baldorvip.com/Drawing/Index/MT-2250-BCYAN-52LYP038.pdf?partNo=MT-2250-BCYAN&dokar=DRW&doknr=52LYP038&dokvr=01&document=52LYP038_Layout1.PLT,MT-2250-BCYAN,Drawing #: 52LYP038,22585
https://www.baldorvip.com/Drawing/Index/MT-2250-BCYAN-CD1097.pdf?partNo=MT-2250-BCYAN&dokar=DRW&doknr=CD1097&dokvr=00&document=364D.PLT,MT-2250-BCYAN,Drawing #: CD1097,22585
https://www.baldorvip.com/Drawing/Index/MT-2250-BCYAN-CD0194.pdf?partNo=MT-2250-BCYAN&dokar=DRW&doknr=CD0194&dokvr=00&document=503E.PLT,MT-2250-BCYAN,Drawing #: CD0194,22585
https://www.baldorvip.com/Drawing/Index/ECP44206T-4-617427-003.pdf?partNo=ECP44206T-4&dokar=DRW&doknr=617427-003&dokvr=01&document=617427-003.PDF,ECP44206T-4,Drawing #: 617427-003,22657
https://www.baldorvip.com/Drawing/Index/ECP44206T-4-416820-036.pdf?partNo=ECP44206T-4&dokar=DRW&doknr=416820-036&dokvr=00&document=416820-036_Layout1.plt,ECP44206T-4,Drawing #: 416820-036,22657
https://www.baldorvip.com/Drawing/Index/ECP44206T-4-MN408.pdf?partNo=ECP44206T-4&dokar=DRW&doknr=MN408&dokvr=01&document=Marketing_PDF_MN408.pdf,ECP44206T-4,Drawing #: MN408,22657
https://www.baldorvip.com/Drawing/Index/ECP44206T-4-MN416.pdf?partNo=ECP44206T-4&dokar=DRW&doknr=MN416&dokvr=01&document=Marketing_PDF_MN416.pdf,ECP44206T-4,Drawing #: MN416,22657
