id,catalog_number,cad
1249115,11/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX750.dxf
1249114,11/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX710.dxf
1249113,11/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX670.dxf
1249112,11/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX630.dxf
1249111,11/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX600.dxf
1249110,11/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX560.dxf
1249109,11/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX530.dxf
1249108,11/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_11_5VX500.dxf
1249054,10/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX2000.dxf
1249053,10/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1900.dxf
1249052,10/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1800.dxf
1249051,10/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1700.dxf
1249050,10/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1600.dxf
1249049,10/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1500.dxf
1249048,10/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1400.dxf
1249047,10/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1320.dxf
1249046,10/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1250.dxf
1249045,10/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1180.dxf
1249044,10/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1120.dxf
1249043,10/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1060.dxf
1249042,10/5VX1000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX1000.dxf
1249066,10/5VX950,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX950.dxf
1249065,10/5VX900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX900.dxf
1249064,10/5VX850,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX850.dxf
1249063,10/5VX800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX800.dxf
1249062,10/5VX750,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX750.dxf
1249061,10/5VX710,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX710.dxf
1249060,10/5VX670,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX670.dxf
1249059,10/5VX630,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX630.dxf
1249058,10/5VX600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX600.dxf
1249057,10/5VX560,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX560.dxf
1249056,10/5VX530,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX530.dxf
1249055,10/5VX500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_10_5VX500.dxf
1249841,9/5VX2000,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX2000.dxf
1249840,9/5VX1900,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1900.dxf
1249839,9/5VX1800,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1800.dxf
1249838,9/5VX1700,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1700.dxf
1249837,9/5VX1600,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1600.dxf
1249836,9/5VX1500,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1500.dxf
1249835,9/5VX1400,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1400.dxf
1249834,9/5VX1320,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1320.dxf
1249833,9/5VX1250,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1250.dxf
1249832,9/5VX1180,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1180.dxf
1249831,9/5VX1120,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1120.dxf
1249830,9/5VX1060,https://mro-host.herokuapp.com/file_download/?name=gates_rubber_9_5VX1060.dxf
