ids,catalog_number,cad
2070524,OSNW 44X7.15/16,none
2070523,OSNW 38X6.15/16,none
2070539,NU 2209 ECJ,http://www.skf.com/cadDownload/02017062414373188725569192d056f/PARTserver02017062414373188725569192d056f.zip
2070520,OSNW 32X5.7/16,none
2070536,NU 328 ECJ/C3,none
2070517,6318/C4S1,none
2070521,OSNW 34X5.15/16,none
2070518,OSNW 26X4.7/16,none
2070519,OSNW 28X4.15/16,none
2070530,KMK 11,http://www.skf.com/cadDownload/02017062414373441425570192d056f/PARTserver02017062414373441425570192d056f.zip
2070528,LM 300849/811/Q,http://www.skf.com/cadDownload/02017062414373458525571192d056f/PARTserver02017062414373458525571192d056f.zip
2070515,16022/C3,none
2070514,6006-2RS1/LHT23,none
2070522,OSNW 36X6.7/16,none
2070510,24060 CACK30/C2W33,none
2070507,6317-2RS1/C3,none
2070511,3203 A-2RS1TN9,none
2070509,239/850 CAK/C08W33,none
2070516,6218/C3S1,none
2070508,239/500 CAK/C08W507,none
2070513,312-2ZNR,http://www.skf.com/cadDownload/02017062414374499125574192d056f/PARTserver02017062414374499125574192d056f.zip
2070505,7409 BM/DGB,none
2070512,RNU 2304 ECP,http://www.skf.com/cadDownload/02017062414374547425575192d056f/PARTserver02017062414374547425575192d056f.zip
2070504,SHR 48,none
2070506,23248 CAC/C2W33,none
2070527,SYK 25 TR,http://www.skf.com/cadDownload/02017062414374659725576192d056f/PARTserver02017062414374659725576192d056f.zip
2070499,SHR 60,none
2070502,SHT 85,http://www.skf.com/cadDownload/02017062414374868825577192d056f/PARTserver02017062414374868825577192d056f.zip
2070501,SHT 18,http://www.skf.com/cadDownload/02017062414374876625578192d056f/PARTserver02017062414374876625578192d056f.zip
2070538,NUTR 45100 X,http://www.skf.com/cadDownload/02017062414374885925579192d056f/PARTserver02017062414374885925579192d056f.zip
2070497,SHR 38,none
2070503,SHT 100,http://www.skf.com/cadDownload/02017062414374892225580192d056f/PARTserver02017062414374892225580192d056f.zip
2070500,SHT 17,http://www.skf.com/cadDownload/02017062414374901525581192d056f/PARTserver02017062414374901525581192d056f.zip
2070496,SHR 30,none
2070491,SHR 18,none
2070494,SHR 24,none
2070495,SHR 28,none
2070488,SHR 15,none
2070487,SHR 15/16,none
2070492,SHR 19,none
2070498,SHR 45,none
2070484,SHT 2.1/8,none
2070486,SHT 15/16,none
2070483,SHT 2.1/2,none
2070490,SHR 17,none
2070485,SHR 1.5/16,none
2070493,SHR 22,none
2070482,SHT 2.15/16,none
2070489,SHR 16,none
2070481,SHT 3.7/16,none
2070479,SHT 3.3/16,none
2070480,SHT 1.5/16,none
2070475,23952 CCK/C3W33,none
2070473,23122 CCK/C4W33,none
2070472,23040 CCK/HA3C4W33,none
2070474,7407 BM/DGB,none
2070467,7207 BEY/DGG130,none
2070466,NU 212 ECJ/C3,none
2070469,6007-2RS1/C3,none
2070468,23096 CAK/C3W33,none
2070465,NJ 406 MA/C3P,none
2070476,6311 NR,http://www.skf.com/cadDownload/02017062414380679925586192d056f/PARTserver02017062414380679925586192d056f.zip
2070471,7319 BEGAP,http://www.skf.com/cadDownload/02017062414380695525587192d056f/PARTserver02017062414380695525587192d056f.zip
2070464,230/560 CAK/C3W33,none
2070470,GEZH 204 ES-2RS,http://www.skf.com/cadDownload/02017062414380714325588192d056f/PARTserver02017062414380714325588192d056f.zip
2070463,61813/C3,none
2070478,SHT 38,http://www.skf.com/cadDownload/02017062414381020025589192d056f/PARTserver02017062414381020025589192d056f.zip
2070477,6212-ZNR,http://www.skf.com/cadDownload/02017062414381035625590192d056f/PARTserver02017062414381035625590192d056f.zip
2070458,6312/C3S0,none
2070461,23236 CC/C2W33,none
2070456,6309-ZNR,http://www.skf.com/cadDownload/02017062414381489625591192d056f/PARTserver02017062414381489625591192d056f.zip
2070452,NNU 4940 B/SPC3W33,none
2070459,23056 CCK/W33,http://www.skf.com/cadDownload/02017062414381631525592192d056f/PARTserver02017062414381631525592192d056f.zip
