url,catalog_number,name,ids
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA2112,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",501974
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA221572,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",501989
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA2307,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",501991
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA2300,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",501990
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA2308,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",501994
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA2307F,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",501992
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA5115,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",502004
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA2311,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",501996
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA5315F,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",502009
https://www.rexnord.com/cmspages/getfile.aspx?guid=38efb1c5-d4cb-4827-a028-1dfdfa666d23,BMA5207,"Rex 2000, 3000, 5000, 9000 Series Roller Bearings",502006
https://www.rexnord.com/cmspages/getfile.aspx?guid=aab9140f-b69c-42f3-a514-d4f60e7d0615,BMA6207,Rex 6000 Series Roller Bearings,857389
