ids,catalog_number,cad
2070568,6207 NR,http://www.skf.com/cadDownload/02017062320342604361179192d056f/PARTserver02017062320342604361179192d056f.zip
2070537,NCF 1892 V/HB1,none
2070536,NU 328 ECJ/C3,none
2070533,PDN 216,none
2070524,OSNW 44X7.15/16,none
2070522,OSNW 36X6.7/16,none
2070523,OSNW 38X6.15/16,none
2070560,6307-ZNR,http://www.skf.com/cadDownload/02017062320343474861188192d056f/PARTserver02017062320343474861188192d056f.zip
2070535,NU 218 ECM/C3,none
2070526,K 30X35X20 TN,none
2070532,K 25X35X30,none
2070520,OSNW 32X5.7/16,none
2070519,OSNW 28X4.15/16,none
2070521,OSNW 34X5.15/16,none
2070517,6318/C4S1,none
2070528,LM 300849/811/Q,http://www.skf.com/cadDownload/02017062320344134761193192d056f/PARTserver02017062320344134761193192d056f.zip
2070516,6218/C3S1,none
2070511,3203 A-2RS1TN9,none
2070510,24060 CACK30/C2W33,none
2070518,OSNW 26X4.7/16,none
2070508,239/500 CAK/C08W507,none
2070530,KMK 11,http://www.skf.com/cadDownload/02017062320344983361200192d056f/PARTserver02017062320344983361200192d056f.zip
2070506,23248 CAC/C2W33,none
2070509,239/850 CAK/C08W33,none
2070504,SHR 48,none
2070507,6317-2RS1/C3,none
2070505,7409 BM/DGB,none
2070515,16022/C3,none
2070514,6006-2RS1/LHT23,none
2070499,SHR 60,none
2070497,SHR 38,none
2070498,SHR 45,none
2070496,SHR 30,none
2070503,SHT 100,http://www.skf.com/cadDownload/02017062320350551161218192d056f/PARTserver02017062320350551161218192d056f.zip
2070502,SHT 85,http://www.skf.com/cadDownload/02017062320350753961221192d056f/PARTserver02017062320350753961221192d056f.zip
2070501,SHT 18,http://www.skf.com/cadDownload/02017062320350767961222192d056f/PARTserver02017062320350767961222192d056f.zip
2070490,SHR 17,none
2070492,SHR 19,none
2070491,SHR 18,none
2070512,RNU 2304 ECP,http://www.skf.com/cadDownload/02017062320350789861223192d056f/PARTserver02017062320350789861223192d056f.zip
2070513,312-2ZNR,http://www.skf.com/cadDownload/02017062320350808561224192d056f/PARTserver02017062320350808561224192d056f.zip
2070487,SHR 15/16,none
2070489,SHR 16,none
2070486,SHT 15/16,none
2070484,SHT 2.1/8,none
2070483,SHT 2.1/2,none
2070485,SHR 1.5/16,none
2070482,SHT 2.15/16,none
2070480,SHT 1.5/16,none
2070479,SHT 3.3/16,none
2070500,SHT 17,http://www.skf.com/cadDownload/02017062320352268761236192d056f/PARTserver02017062320352268761236192d056f.zip
2070488,SHR 15,none
2070481,SHT 3.7/16,none
2070473,23122 CCK/C4W33,none
2070475,23952 CCK/C3W33,none
2070493,SHR 22,none
2070469,6007-2RS1/C3,none
2070468,23096 CAK/C3W33,none
2070477,6212-ZNR,http://www.skf.com/cadDownload/02017062320353809961245192d056f/PARTserver02017062320353809961245192d056f.zip
2070494,SHR 24,none
2070478,SHT 38,http://www.skf.com/cadDownload/02017062320353869261246192d056f/PARTserver02017062320353869261246192d056f.zip
2070476,6311 NR,http://www.skf.com/cadDownload/02017062320353873961247192d056f/PARTserver02017062320353873961247192d056f.zip
