id,catalog_number,description,product_substitutions
2920258,M5-160CPLKITIEC,DODGE M5-160CPLKITIEC MTA SIZE 5215 160IEC COUPLING KIT RENEWAL PARTS,none
2920257,M5-132CPLKITIEC,DODGE M5-132CPLKITIEC MTA SIZE 5215 132IEC COUPLING KIT RENEWAL PARTS,none
2920256,M5-112CPLKITIEC,DODGE M5-112CPLKITIEC MTA SIZE 5215 112IEC COUPLING KIT RENEWAL PARTS,none
2920255,M4-200CPLKITIEC,DODGE M4-200CPLKITIEC MTA SIZE 4207 200IEC COUPLING KIT RENEWAL PARTS,none
2920254,M4-180CPLKITIEC,DODGE M4-180CPLKITIEC MTA SIZE 4207 180IEC COUPLING KIT RENEWAL PARTS,none
2920253,M4-160CPLKITIEC,DODGE M4-160CPLKITIEC MTA SIZE 4207 160IEC COUPLING KIT SPECIAL CHARGES,none
2920252,M4-132CPLKITIEC,DODGE M4-132CPLKITIEC MTA SIZE 4207 132IEC COUPLING KIT RENEWAL PARTS,none
2920251,M4-112CPLKITIEC,DODGE M4-112CPLKITIEC MTA SIZE 4207 112IEC COUPLING KIT RENEWAL PARTS,none
2920250,M4-100CPLKITIEC,DODGE M4-100CPLKITIEC MTA SIZE 4207 100IEC COUPLING KIT RENEWAL PARTS,none
2920249,M3H29T21C718,DODGE M3H29T21C718 MTA SIZE 3203 29:1 201 C-FACE VM3710T GEAR PRODUCTS,none
2920248,M3-160CPLKITIEC,DODGE M3-160CPLKITIEC MTA SIZE 3203 160IEC COUPLING KIT RENEWAL PARTS,none
2920247,M3-132CPLKITIEC,DODGE M3-132CPLKITIEC MTA SIZE 3203 132IEC COUPLING KIT RENEWAL PARTS,none
2920246,M3-112CPLKITIEC,DODGE M3-112CPLKITIEC MTA SIZE 3203 112IEC COUPLING KIT SPECIAL CHARGES,none
2920245,M3-100CPLKITIEC,DODGE M3-100CPLKITIEC MTA SIZE 3203 100IEC COUPLING KIT RENEWAL PARTS,none
2920244,M2-160CPLKITIEC,DODGE M2-160CPLKITIEC MTA SIZE 2115 160IEC COUPLING KIT RENEWAL PARTS,none
2920243,M2-132CPLKITIEC,DODGE M2-132CPLKITIEC MTA SIZE 2115 132IEC COUPLING KIT RENEWAL PARTS,none
2920242,M2-112CPLKITIEC,DODGE M2-112CPLKITIEC MTA SIZE 2115 112IEC COUPLING KIT RENEWAL PARTS,none
2920241,M2-100CPLKITIEC,DODGE M2-100CPLKITIEC MTA SIZE 2115 100IEC COUPLING KIT RENEWAL PARTS,none
2920240,IG30A10H14LHBD111,DODGE IG30A10H14LHBD111 TIGEAR-2 REDUCER 1-11/16^ BORE GEAR PRODUCTS,none
