id,catalog_number,additional_description
1153979,B5104V200BB-D,
1154418,VR6000-1,
2033551,10-DBHU-10,
2033552,10-DCAP,
2033553,10-DELU-10,
2033554,10-DFC-8,
2033555,10-DFPLUG,
2033556,10-DTTT-10,
2033557,10-DU,
2033558,100DWSPAL,
2033559,100SEGCOLL,
2033560,10EF10-S,
2033561,10VEPDP-A,
2033562,10VEPF10,
2033563,1105102,
2033564,1110060,
2033565,112DSK,
2033566,114/2D-TK,
2033567,114DAL-AV-16,
2033568,114DAL-AV-19,
2033569,114DAL-AV-25,
2033570,114DAV-SK,
2033571,114DSK,
2033572,12-DBHU-12,
2033573,12-DCAP,
2033574,12-DELU-12,
2033575,12-DFC-12,
2033576,12-DFC-8,
2033577,12-DFE-12,
2033578,12-DFE-8,
2033579,12-DFPLUG,
2033580,12-DMC-16,
2033581,12-DRATT-16,
2033582,12-DTMT-12,
2033583,12-DTTM-12,
2033584,12-DTTM-8,
2033585,12-DTTT-12,
2033586,12-DTTT-6,
2033587,12-DTTT-8,
2033588,12-DU,
2033589,1204-20-20,
2033590,1204-24-24,
2033591,120SEGCOLL,
2033592,1231-05-05,
2033593,1231-20-20,
2033594,1250SK,
2033595,1250TK,
2033596,12EF12-S,
2033597,12VEPDP-A,
2033598,12VEPF12,
2033599,13BNH,
2033600,13LW,
2033601,13MHHM500SN,
2033602,13MHHV-Q400,
2033603,13MHHV600,
2033604,13SN,
2033605,1404550,
2033606,1404551,
2033607,1404620,
2033608,1404621,
2033609,14QMP-G100,
2033610,14QMP-G150,
2033611,14QMP-G200,
2033612,14QMP-G250,
2033613,14QMP-G300,
2033614,14QMP-G400,
2033615,14QMP-G600,
2033616,14VB-R600,
2033617,14VB-R800,
2033618,14WMV-R600,
2033619,1500SK,
2033620,15020FXFAL00000,
2033621,15020FXFMI00000,
2033622,15030FXFAL00000,
2033623,15030FXFMI00000,
2033624,1510-C-SS,
2033625,1510-E-SS,
2033626,15B15-100RBS,
2033627,15B15-50RBS,
2033628,15B15-75RBF,
2033629,16-DBHU-16,
2033630,16-DCAP,
2033631,16-DELU-16,
2033632,16-DFC-16,
2033633,16-DFE-16,
2033634,16-DFPLUG,
2033635,16-DMC-12,
2033636,16-DMC-16,
2033637,16-DME-12,
2033638,16-DME-16,
2033639,16-DTMT-16,
2033640,16-DTTM-12,
2033641,16-DTTM-16,
2033642,16-DTTT-12,
2033643,16-DTTT-16,
2033644,16-DU,
2033645,16101-RH,
2033646,16167,
2033647,16AI-14I100R,
2033648,16AI-14I150R,
2033649,16AI-14I200R,
2033650,16AI-14I250R,
2033651,16AI-14I300R,
2033652,16AI-14I400R,
2033653,16AI-14I600R,
2033654,16AI-14I800R,
2033655,16AI-15I100R,
2033656,16AI-15I150R,
2033657,16AI-15I200R,
2033658,16AI-15I250R,
2033659,16AI-15I300R,
2033660,16AI-15I400R,
2033661,16AI-15I600R,
2033662,16AI-15I800R,
2033663,16EF16-S,
2033664,16VEPDP-A,
2033665,16VEPF16,
2033666,177-0202SS,
2033667,177-0303SS,
2033668,177-0404SS,
2033669,177-0606SS,
2033670,177-0808SS,
2033671,179-0202SS,
2033672,179-0303SS,
2033673,179-0404SS,
2033674,179-0606SS,
2033675,179-0808SS,
2033676,18-458-00017,
2033677,1800408F,
2033678,1800408FSS,
2033679,1800409F,
2033680,1800409FSS,
2033681,1800410F,
2033682,1800410FSS,
2033683,1800509F,
2033684,1800509FSS,
2033685,1800510F,
2033686,1800510FSS,
2033687,1800511F,
2033688,1800610F,
2033689,1800610FSS,
2033690,1800611F,
2033691,1800611FSS,
2033692,1800612F,
2033693,1800612FSS,
2033694,1800814F,
2033695,1800814FSS,
2033696,1800815F,
2033697,1800815FSS,
2033698,1800816F,
2033699,1820402S,
2033700,1820402SS,
2033701,1820404S,
2033702,1820404SS,
2033703,1820406S,
2033704,1820504S,
2033705,1820504SS,
2033706,1820506S,
2033707,1820604S,
2033708,1820604SS,
2033709,1820606S,
2033710,1820606SS,
2033711,1820608S,
2033712,1820804S,
2033713,1820806S,
2033714,1820806SS,
2033715,1820808S,
2033716,1820808SS,
2033717,1840404A,
2033718,1840406A,
2033719,1840504A,
2033720,1840604A,
2033721,1840606A,
2033722,1840808A,
2033723,2-DFC-2,
2033724,2-DMC-2,
2033725,2-DMC-4,
2033726,2-DTMT-2,
2033727,2-DTTM-2,
2033728,2-DU,
2033729,200-LH-SI,
2033730,200DBAL,
2033731,2015-B-ALNST,
2033732,2025-D-ALNST,
2033733,2025-F-ALNST,
2033734,21010,
2033735,21012,
2033736,211-0200C,
2033737,211-0400C,
2033738,211-0600C,
2033739,211-0800C,
2033740,211-1200C,
2033741,220FXFAL00000,
2033742,220FXFMI00000,
2033743,230FXFAL00000,
2033744,230FXFMI00000,
2033745,2404-20-20,
2033746,2404-24-24,
2033747,2404-32-32,
2033748,02.05.2404,
2033749,2405-20-20,
2033750,16.12.2501,
2033751,2501-20-16,
2033752,2501-20-20,
2033753,2501-24-24,
2033754,2501-32-32,
2033755,2503-16-12,
2033756,2720400W,
2033757,2720500W,
2033758,2720600W,
2033759,2720800W,
2033760,2721000W,
2033761,2721200W,
2033762,2721600W,
2033763,2HTDP,
2033764,2VEPDP-A,
2033765,2VEPF2,
2033766,2WCA4025F-C,
2033767,2WCA4025F-P,
2033768,2WCA4025F-SP-C,
2033769,2WCA4025F-SP-P,
2033770,2WCA4030F-P,
2033771,2WCA6025F-C,
2033772,2WCA6025F-P,
2033773,2WCA6025F-SP-C,
2033774,2WCA6025F-SP-P,
2033775,2WSA4025F,
2033776,2WSA4025F-SP,
2033777,2WSA6025F,
2033778,2WSA6025F-SP,
2033779,300-A-HA,
2033780,300-DC-ALPH,
2033781,300-DP-ALPH,
2033782,300-E-HA,
2033783,300-F-HA,
2033784,300-LH-SI,
2033785,300DBAL,
2033786,300GTHKBF,
2033787,3025-A-ALNST,
2033788,3025-B-ALNST,
2033789,3025-D-ALNST,
2033790,3025-F-ALNST,
2033791,320FXFAL00000,
2033792,320FXFMI00000,
2033793,330FXFAL00000,
2033794,330FXFMI00000,
2033795,3505WF,
2033796,3508WF,
2033797,3509WF,
2033798,3510WF,
2033799,3511WF,
2033800,3518WF2,
2033801,3S-B-15U-GFBKSS,
2033802,3S-B-15U-GFBTSS,
2033803,3S-B-2U-GFBKSS,
2033804,3S-B-2U-GFBTSS,
2033805,3S-C-15U-GFBKSS,
2033806,3S-C-15U-GFBTSS,
2033807,3S-C-2U-GFBKSS,
